delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,key_resp.keys,key_resp.rt,sound_1.started,text.started,textbox.started,button.started,textbox.text,button.numClicks,button.timesOn,button.timesOff,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.4,1000,exp,0,0,0,7,26.72442639991641,27.687950699939393,27.687950699939393,27.737860699999146,space,1.35151309997309,29.470727039920167,29.789955199928954,29.789955199928954,29.789955199928954,200,1,[11.332918500062078],[11.332937400089577],,293447,001,2022-11-10_22h25.28.254,intentional binding_tutorial 7,2022.2.2,59.79219818524606,
0.7,400,unexp,0,1,1,2,41.101833099965006,42.1027541999938,42.1027541999938,42.1027541999938,space,2.6473845000145957,45.46871593997348,45.77722869999707,45.77722869999707,45.77722869999707,900,2,"[11.332918500062078, 4.793035199982114]","[11.332937400089577, 4.793040700023994]",,293447,001,2022-11-10_22h25.28.254,intentional binding_tutorial 7,2022.2.2,59.79219818524606,
0.1,400,unexp,0,2,2,0,50.554665399948135,51.56780869991053,51.56780869991053,51.56780869991053,space,2.3453935000579804,54.03420513991732,54.345274399966,54.345274399966,54.345274399966,150,3,"[11.332918500062078, 4.793035199982114, 5.323812499991618]","[11.332937400089577, 4.793040700023994, 5.32382819999475]",,293447,001,2022-11-10_22h25.28.254,intentional binding_tutorial 7,2022.2.2,59.79219818524606,
0.7,1000,exp,0,3,3,11,59.65652829990722,60.650355299934745,60.650355299934745,60.666795299970545,space,0.10139009996782988,61.48331893999129,61.792552699916996,61.792552699916996,61.792552699916996,600,4,"[11.332918500062078, 4.793035199982114, 5.323812499991618, 2.82929309993051]","[11.332937400089577, 4.793040700023994, 5.32382819999475, 2.8293041000142694]",,293447,001,2022-11-10_22h25.28.254,intentional binding_tutorial 7,2022.2.2,59.79219818524606,
0.1,1000,exp,0,4,4,9,64.61201819998678,65.61618989997078,65.61618989997078,65.61618989997078,space,1.2540832000086084,66.99914223998785,67.30824789998587,67.30824789998587,67.30824789998587,100,5,"[11.332918500062078, 4.793035199982114, 5.323812499991618, 2.82929309993051, 3.8839784000301734]","[11.332937400089577, 4.793040700023994, 5.32382819999475, 2.8293041000142694, 3.8839853000827134]",,293447,001,2022-11-10_22h25.28.254,intentional binding_tutorial 7,2022.2.2,59.79219818524606,
0.4,1000,exp,0,5,5,4,71.17690570000559,72.18191169993952,72.18191169993952,72.18191169993952,space,0.7566873000469059,73.3650018400047,73.67324479995295,73.67324479995295,73.67324479995295,250,6,"[11.332918500062078, 4.793035199982114, 5.323812499991618, 2.82929309993051, 3.8839784000301734, 2.8683482999913394]","[11.332937400089577, 4.793040700023994, 5.32382819999475, 2.8293041000142694, 3.8839853000827134, 2.8683558999327943]",,293447,001,2022-11-10_22h25.28.254,intentional binding_tutorial 7,2022.2.2,59.79219818524606,
0.1,1000,exp,0,6,6,6,76.52936909999698,77.53133189992514,77.53133189992514,77.53133189992514,space,1.4323156999889761,79.08100573993288,79.39182279992383,79.39182279992383,79.39182279992383,100,7,"[11.332918500062078, 4.793035199982114, 5.323812499991618, 2.82929309993051, 3.8839784000301734, 2.8683482999913394, 4.829928799998015]","[11.332937400089577, 4.793040700023994, 5.32382819999475, 2.8293041000142694, 3.8839853000827134, 2.8683558999327943, 4.829940699972212]",,293447,001,2022-11-10_22h25.28.254,intentional binding_tutorial 7,2022.2.2,59.79219818524606,
0.4,1000,exp,0,7,7,10,84.20933889993466,85.21387699991465,85.21387699991465,85.21387699991465,space,1.9221067000180483,87.56327043992933,87.87347569991834,87.87347569991834,87.87347569991834,150,8,"[11.332918500062078, 4.793035199982114, 5.323812499991618, 2.82929309993051, 3.8839784000301734, 2.8683482999913394, 4.829928799998015, 2.4719504999229684]","[11.332937400089577, 4.793040700023994, 5.32382819999475, 2.8293041000142694, 3.8839853000827134, 2.8683558999327943, 4.829940699972212, 2.471966499928385]",,293447,001,2022-11-10_22h25.28.254,intentional binding_tutorial 7,2022.2.2,59.79219818524606,
0.1,1000,exp,0,8,8,3,90.33591459994204,91.32960389996879,91.32960389996879,91.34622710000258,space,1.2103131000185385,92.66250253999605,92.97771289991215,92.97771289991215,92.97771289991215,100,9,"[11.332918500062078, 4.793035199982114, 5.323812499991618, 2.82929309993051, 3.8839784000301734, 2.8683482999913394, 4.829928799998015, 2.4719504999229684, 3.073013399960473]","[11.332937400089577, 4.793040700023994, 5.32382819999475, 2.8293041000142694, 3.8839853000827134, 2.8683558999327943, 4.829940699972212, 2.471966499928385, 3.073025399935432]",92.97771289991215,293447,001,2022-11-10_22h25.28.254,intentional binding_tutorial 7,2022.2.2,59.79219818524606,
0.7,1000,exp,0,9,9,8,96.033717699931,97.02875129994936,97.02875129994936,97.04529479995836,space,1.3692918999586254,99.12858893997036,99.44738339993637,99.44738339993637,99.44738339993637,900,10,"[11.332918500062078, 4.793035199982114, 5.323812499991618, 2.82929309993051, 3.8839784000301734, 2.8683482999913394, 4.829928799998015, 2.4719504999229684, 3.073013399960473, 4.6050263999495655]","[11.332937400089577, 4.793040700023994, 5.32382819999475, 2.8293041000142694, 3.8839853000827134, 2.8683558999327943, 4.829940699972212, 2.471966499928385, 3.073025399935432, 4.605038299923763]",,293447,001,2022-11-10_22h25.28.254,intentional binding_tutorial 7,2022.2.2,59.79219818524606,
